Processes,Search,Predict,Create,Add
2,0.001,0.02,1e+00,0e+00
3,0.0009,0.03,1e+00,0e+00
4,0.0008,0.03,1e+00,0e+00
5,0.0009,0.03,1e+00,0e+00
6,0.001,0.04,1e+00,0e+00
7,0.001,0.03,1e+00,0e+00
8,0.001,0.04,1e+00,0e+00
9,0.0009,0.03,1e+00,0e+00
10,0.0007,0.02,1e+00,0e+00
11,0.0008,0.03,1e+00,0e+00
12,0.0006,0.02,1e+00,0e+00
13,0.0008,0.02,1e+00,0e+00
14,0.0005,0.02,1e+00,0e+00
15,0.0004,0.02,1e+00,0e+00
16,0.0005,0.01,1e+00,0e+00
17,0.0005,0.02,1e+00,0e+00
18,0.0004,0.01,1e+00,0e+00
19,0.0004,0.01,1e+00,0e+00
20,0.0003,0.009,1e+00,0e+00
21,0.0004,0.01,1e+00,0e+00
22,0.0004,0.01,1e+00,0e+00
23,0.0003,0.009,1e+00,0e+00
24,0.0004,0.01,1e+00,0e+00
25,0.0003,0.009,1e+00,0e+00
26,0.0004,0.01,1e+00,0e+00
27,0.0002,0.007,1e+00,0e+00
28,0.0004,0.009,1e+00,0e+00
29,0.0002,0.008,1e+00,0e+00
30,0.0003,0.008,1e+00,0e+00
31,0.0003,0.007,1e+00,0e+00
32,0.0002,0.006,1e+00,0e+00
33,0.0004,0.007,1e+00,0e+00
34,0.0003,0.007,1e+00,0e+00
35,0.0002,0.006,1e+00,0e+00
36,0.0002,0.005,1e+00,0e+00
